"Genre","Decade","mode_char","mode","key","Artist","Song.Title","Year","Rank","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration","key_character"
"Alternative","2020s","major",1,11,"Glass Animals","Heat Waves",2022,18,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,3.98008333333333,"B"
"Alternative","2010s","major",1,1,"Lewis Capaldi","Someone You Loved",2019,27,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,4,3.03601666666667,"C#/Db"
"Alternative","90s","major",1,9,"Billie Myers","Kiss the Rain",1998,46,0.455,0.682,-6.996,0.041,0.00142,4.96e-05,0.162,0.283,177.997,4,4.50266666666667,"A"
"Alternative","2010s","major",1,0,"Fun","Some Nights",2012,14,0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,4,4.61733333333333,"C/B#"
"Alternative","2010s","minor",0,1,"Portugal. The Man","Feel It Still",2017,45,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,2.72088333333333,"C#/Db"
"Alternative","90s","major",1,11,"Alanis Morissette","Ironic",1996,13,0.408,0.582,-8.305,0.0508,0.218,0,0.159,0.365,114.926,5,3.83333333333333,"B"
"Alternative","2020s","major",1,11,"Glass Animals","Heat Waves",2022,18,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,3.98008333333333,"B"
"Alternative","90s","major",1,1,"Nirvana","Smells Like Teen Spirit",1992,32,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,5.032,"C#/Db"
"Alternative","2010s","major",1,7,"Lorde","Royals",2013,15,0.674,0.428,-9.504,0.122,0.121,0,0.132,0.337,84.878,4,3.16975,"G"
"Alternative","2020s","major",1,1,"Lewis Capaldi","Someone You Loved",2020,10,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,4,3.03601666666667,"C#/Db"
"Alternative","2000s","major",1,6,"Gorillaz","Feel Good Inc.",2005,37,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,4,3.71066666666667,"F#/Gb"
"Alternative","2000s","major",1,10,"The All-American Rejects","Dirty Little Secret",2006,48,0.465,0.954,-4.251,0.044,0.000346,5.38e-06,0.573,0.458,143.85,4,3.22755,"A#/Bb"
"Alternative","2000s","minor",0,11,"Fall Out Boy","Dance, Dance",2006,33,0.622,0.961,-3.198,0.154,0.00523,0,0.0854,0.449,114.452,4,3.00445,"B"
"Alternative","2010s","minor",0,10,"Imagine Dragons","Believer",2017,9,0.776,0.78,-4.374,0.128,0.0622,0,0.081,0.666,124.949,4,3.40578333333333,"A#/Bb"
"Alternative","2000s","major",1,7,"Green Day","Wake Me Up When September Ends",2005,46,0.546,0.814,-5.146,0.0314,0.023,0,0.0972,0.146,104.98,4,4.76088333333333,"G"
"Alternative","2010s","minor",0,4,"Fall Out Boy","Centuries",2015,43,0.393,0.858,-2.868,0.0729,0.00359,0,0.102,0.56,176.042,4,3.806,"E"
"Alternative","2020s","major",1,11,"Glass Animals","Heat Waves",2021,16,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,3.98008333333333,"B"
"Alternative","2010s","major",1,7,"Lorde","Royals",2013,15,0.674,0.428,-9.504,0.122,0.121,0,0.132,0.337,84.878,4,3.16975,"G"
"Alternative","2010s","minor",0,1,"Portugal. The Man","Feel It Still",2017,45,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,2.72088333333333,"C#/Db"
"Alternative","2010s","major",1,7,"Lorde","Royals",2014,20,0.674,0.428,-9.504,0.122,0.121,0,0.132,0.337,84.878,4,3.16975,"G"
"Alternative","2010s","major",1,0,"Capital Cities","Safe and Sound",2013,29,0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,5,3.21316666666667,"C/B#"
"Alternative","2000s","major",1,7,"Fall Out Boy","Sugar, We're Goin Down",2005,40,0.494,0.842,-4.784,0.0843,0.00579,0,0.122,0.574,162.011,4,3.81821666666667,"G"
"Alternative","2010s","major",1,1,"Walk the Moon","Shut Up and Dance",2015,6,0.578,0.866,-3.804,0.0619,0.00701,0,0.257,0.619,128.038,4,3.318,"C#/Db"
