Artist,Song Title,Year,Rank,Genre,Decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
50 Cent,P.I.M.P.,2003,21,Hip-Hop/Rap,2000s,0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-5,0.0401,0.889,78.693,audio_features,2D1hlMwWWXpkc3CZJ5U351,spotify:track:2D1hlMwWWXpkc3CZJ5U351,https://api.spotify.com/v1/tracks/2D1hlMwWWXpkc3CZJ5U351,https://api.spotify.com/v1/audio-analysis/2D1hlMwWWXpkc3CZJ5U351,249467,4
95 South,"Whoot, There It Is",1993,44,Hip-Hop/Rap,90s,0.783,0.498,7,-14.387,1,0.0556,0.0157,0.245,0.456,0.519,132.952,audio_features,1PJM5F9oC7AKcdYROTv8EX,spotify:track:1PJM5F9oC7AKcdYROTv8EX,https://api.spotify.com/v1/tracks/1PJM5F9oC7AKcdYROTv8EX,https://api.spotify.com/v1/audio-analysis/1PJM5F9oC7AKcdYROTv8EX,276867,4
98 Degrees,Invisible Man,1997,45,Pop,90s,0.694,0.552,9,-10.452,0,0.0278,0.202,0,0.176,0.573,89.904,audio_features,5EOGZmuU56m3fFhqr4HCLe,spotify:track:5EOGZmuU56m3fFhqr4HCLe,https://api.spotify.com/v1/tracks/5EOGZmuU56m3fFhqr4HCLe,https://api.spotify.com/v1/audio-analysis/5EOGZmuU56m3fFhqr4HCLe,283267,4
98 Degrees,The Hardest Thing,1999,37,Pop,90s,0.721,0.498,10,-7.43,1,0.0274,0.182,0,0.0769,0.558,88.007,audio_features,6PuaQbH3oPmj9XojS0SRaO,spotify:track:6PuaQbH3oPmj9XojS0SRaO,https://api.spotify.com/v1/tracks/6PuaQbH3oPmj9XojS0SRaO,https://api.spotify.com/v1/audio-analysis/6PuaQbH3oPmj9XojS0SRaO,274600,4
a-ha,Take On Me,1985,10,Pop,80s,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
A Boogie wit da Hoodie,Look Back at It,2019,41,Hip-Hop/Rap,2010s,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,audio_features,3Ol2xnObFdKV9pmRD2t9x8,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8,179449,4
A Taste of Honey,Boogie Oogie Oogie,1978,9,R&B/Soul,70s,0.791,0.569,2,-10.372,0,0.0553,0.133,3.5e-4,0.139,0.889,123.977,audio_features,07NrCEN3egNvw8td2LxqJO,spotify:track:07NrCEN3egNvw8td2LxqJO,https://api.spotify.com/v1/tracks/07NrCEN3egNvw8td2LxqJO,https://api.spotify.com/v1/audio-analysis/07NrCEN3egNvw8td2LxqJO,338320,4
A Taste of Honey,Sukiyaki,1981,22,R&B/Soul,80s,0.552,0.387,3,-10.147,1,0.031,0.85,1.65e-5,0.113,0.227,135.874,audio_features,4FwOQZ6L39ZyHYwmPwlJZw,spotify:track:4FwOQZ6L39ZyHYwmPwlJZw,https://api.spotify.com/v1/tracks/4FwOQZ6L39ZyHYwmPwlJZw,https://api.spotify.com/v1/audio-analysis/4FwOQZ6L39ZyHYwmPwlJZw,225067,4
Aaliyah,Back & Forth,1994,24,R&B/Soul,90s,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4
Aaliyah,Miss You,2003,8,R&B/Soul,2000s,0.678,0.338,10,-9.899,1,0.0319,0.655,0,0.215,0.502,109.888,audio_features,0tr492xughUjNeqSDDD5nK,spotify:track:0tr492xughUjNeqSDDD5nK,https://api.spotify.com/v1/tracks/0tr492xughUjNeqSDDD5nK,https://api.spotify.com/v1/audio-analysis/0tr492xughUjNeqSDDD5nK,245227,4
