,Artist Name,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
118,Phillip Phillips,Home,0.606,0.826,0.0,-6.04,1.0,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,audio_features,4rsW3WCZBGwhHfJWuHRwyT,spotify:track:4rsW3WCZBGwhHfJWuHRwyT,https://api.spotify.com/v1/tracks/4rsW3WCZBGwhHfJWuHRwyT,https://api.spotify.com/v1/audio-analysis/4rsW3WCZBGwhHfJWuHRwyT,210173.0,4.0
119,Imagine Dragons,It's Time,0.656,0.884,2.0,-4.748,1.0,0.0372,0.0162,0.0,0.145,0.86,105.009,audio_features,6BtmXhTJMM9sBTHeYYASGz,spotify:track:6BtmXhTJMM9sBTHeYYASGz,https://api.spotify.com/v1/tracks/6BtmXhTJMM9sBTHeYYASGz,https://api.spotify.com/v1/audio-analysis/6BtmXhTJMM9sBTHeYYASGz,237987.0,4.0
120,Demi Lovato,Heart Attack,0.504,0.785,8.0,-4.802,1.0,0.104,0.0738,0.0,0.239,0.502,173.968,audio_features,1V6gIisPpYqgFeWbMLI0bA,spotify:track:1V6gIisPpYqgFeWbMLI0bA,https://api.spotify.com/v1/tracks/1V6gIisPpYqgFeWbMLI0bA,https://api.spotify.com/v1/audio-analysis/1V6gIisPpYqgFeWbMLI0bA,210840.0,4.0
121,Pharrell Williams,Happy,0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019,audio_features,60nZcImufyMA1MKQY3dcCH,spotify:track:60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/tracks/60nZcImufyMA1MKQY3dcCH,https://api.spotify.com/v1/audio-analysis/60nZcImufyMA1MKQY3dcCH,232720.0,4.0
122,John Legend,All of Me,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560.0,4.0
123,OneRepublic,Counting Stars,0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.115,0.477,122.017,audio_features,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,257840.0,4.0
124,Magic!,Rude,0.773,0.758,1.0,-4.993,1.0,0.0381,0.0422,0.0,0.305,0.925,144.033,audio_features,6RtPijgfPKROxEzTHNRiDp,spotify:track:6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/tracks/6RtPijgfPKROxEzTHNRiDp,https://api.spotify.com/v1/audio-analysis/6RtPijgfPKROxEzTHNRiDp,224840.0,4.0
125,Meghan Trainor,All About That Bass,0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,audio_features,5jE48hhRu8E6zBDPRSkEq7,spotify:track:5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/tracks/5jE48hhRu8E6zBDPRSkEq7,https://api.spotify.com/v1/audio-analysis/5jE48hhRu8E6zBDPRSkEq7,187920.0,4.0
126,Sam Smith,Stay with Me,0.418,0.42,0.0,-6.444,1.0,0.0414,0.588,6.39e-05,0.11,0.184,84.094,audio_features,5Nm9ERjJZ5oyfXZTECKmRt,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,https://api.spotify.com/v1/audio-analysis/5Nm9ERjJZ5oyfXZTECKmRt,172724.0,4.0
127,Bastille,Pompeii,0.679,0.715,9.0,-6.383,1.0,0.0407,0.0755,0.0,0.271,0.571,127.435,audio_features,3gbBpTdY8lnQwqxNCcf795,spotify:track:3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,214148.0,4.0
